ResourceID,geom,SITEID,SITENAME,ADDRESS,DESTROYED,SURVEYNUM,ARCHITECT,YEARBUILT,STYLE,EXTPLAN,SURVEVAL,SURVDIST,SHPOEVAL,D_NRLISTED,PLOTMTHD,OWNERSHIP,EXTFABRIC,STRUCSYS,STRUCUSE
eb9e78b9-ffd3-455a-aa76-a48b3cf564a2,POINT (-82.1601151369999 29.4815562840001),AL00479A,MARJORIE KINNAN RAWLINGS HOUSE,,NO,,,1890-01-01,Frame Vernacular,,Eligible for NRHP,Not Evaluated by Recorder,Not Evaluated by SHPO,1970-09-29,D,State,"Board and batten;Weatherboard, Clapboard",Lapped log,"Private residence;School, University, College"
5144b17d-b0d9-42f8-838f-b0170720ea99,POINT (-82.2557166939999 29.607937135),AL00533,PZ-2 HOUSE,ONE MI NW OFF U.S. 441,NO,,,,,,Not Evaluated by Recorder,Not Evaluated by Recorder,Not Evaluated by SHPO,,D,,,,Abandoned or vacant
34c6d57c-431e-47c2-a7cb-4b3fcc594507,POINT (-82.539685377 29.658314853),AL02328A,DUDLEY FARM - MAIN HOUSE,18502 W Newberry RD,NO,19573,,1882-01-01,Frame Vernacular,Rectangular,Ineligible for NRHP,Potential contributor to NR district,Not Evaluated by SHPO,,D,Private-individual,Board and batten;Drop siding;Asbestos shingles or siding,Wood frame,Farm;Museum/art gallery/planetarium;Park
a9dfbb2c-bfd0-4aca-aaa2-c9f4362bb97c,POINT (-82.539611377 29.658189485),AL02328B,DUDLEY FARM - STONE HOUSE,18502 W Newberry RD,NO,19573,,1920-01-01,Masonry vernacular,Rectangular,Ineligible for NRHP,Potential contributor to NR district,Not Evaluated by SHPO,,D,State,Stone,Masonry,Warehouse;Farm;Museum/art gallery/planetarium
e646e4bc-b099-4337-b90b-e402aa41aebc,POINT (-82.539726457 29.65848915),AL02328C,DUDLEY FARM - KITCHEN,18502 W Newberry RD,NO,19573,,1882-01-01,Frame Vernacular,Rectangular,Ineligible for NRHP,Potential contributor to NR district,Not Evaluated by SHPO,,D,State,Board and batten,Wood frame,Farm;Kitchen;Museum/art gallery/planetarium
8c8bbad0-e1fa-411e-87b1-6d4e42d64237,POINT (-82.539638043 29.6587236230001),AL02328D,DUDLEY FARM - OUTHOUSE,18502 W Newberry RD,NO,19573,,1900-01-01,Frame Vernacular,Rectangular,Ineligible for NRHP,Potential contributor to NR district,Not Evaluated by SHPO,,D,State,Wood siding,Wood frame,Farm;Museum/art gallery/planetarium;Outhouse
fc1bb583-e92c-4560-b6b6-bc84c89753ed,POINT (-82.539737577 29.6586425880001),AL02328E,DUDLEY FARM - SMOKEHOUSE,18502 W Newberry RD,NO,19573,,1882-01-01,Frame Vernacular,Rectangular,Ineligible for NRHP,Potential contributor to NR district,Not Evaluated by SHPO,,D,State,Board and batten,Wood frame,Farm;Museum/art gallery/planetarium;Park
323fa1b1-0c87-47f2-968f-b1667c0b58c1,POINT (-82.540292929 29.657916889),AL02328F,DUDLEY FARM - TOBACCO BARN,18502 W Newberry RD,NO,19573,,1930-01-01,Frame Vernacular,Rectangular,Ineligible for NRHP,Potential contributor to NR district,Not Evaluated by SHPO,,D,State,Board and batten,Wood frame,Barn;Farm;Museum/art gallery/planetarium
b563de26-ce20-47cf-98e6-b9206e965298,POINT (-82.540015844 29.658860916),AL02328G,DUDLEY FARM - CORN CRIB,18502 W Newberry RD,NO,19573,,1905-01-01,Frame Vernacular,Rectangular,Ineligible for NRHP,Potential contributor to NR district,Not Evaluated by SHPO,,D,State,Board and batten,Wood frame,Agricultural;Farm;Museum/art gallery/planetarium
49b90111-974e-4de3-974e-ea7e7e1c0afc,POINT (-82.540211146 29.6591978770001),AL02328H,DUDLEY FARM - HAY BARN,18502 W Newberry RD,NO,19573,,1924-01-01,Frame Vernacular,Rectangular,Ineligible for NRHP,Potential contributor to NR district,Not Evaluated by SHPO,,D,State,Board and batten,Wood frame,Barn;Farm;Museum/art gallery/planetarium
